【shimamoオリジナル】『サクラノキセツ／shimamo』 🌸🌸🌸	shimamoオリジナル	None	サクラノキセツ	shimamo	None	None	None	None	 🌸🌸🌸
【shimamoオリジナル】【MV公開中】『1メートル／shimamo（ミニアルバム収録曲）』 ​💙💙💙	shimamoオリジナル	MV公開中	1メートル	shimamo	None	None	None	ミニアルバム収録曲	 ​💙💙💙
【shimamoオリジナル】【MV公開中】『1メートル／shimamo（ミニアルバム収録曲 弾き語りVer.）』 ​💙💙💙	shimamoオリジナル	MV公開中	1メートル	shimamo	None	None	None	ミニアルバム収録曲 弾き語りVer.	 ​💙💙💙
【shimamoオリジナル】『YOU／shimamo』 🎙🎙🎙	shimamoオリジナル	None	YOU	shimamo	None	None	None	None	 🎙🎙🎙
【shimamoオリジナル】『ものがたり／shimamo』 🎙🎙🎙	shimamoオリジナル	None	ものがたり	shimamo	None	None	None	None	 🎙🎙🎙
【shimamoオリジナル】『白いキセキ／shimamo』 ❄❄❄	shimamoオリジナル	None	白いキセキ	shimamo	None	None	None	None	 ❄❄❄
【shimamoオリジナル】『東京少女／shimamo』 🎙🎙🎙	shimamoオリジナル	None	東京少女	shimamo	None	None	None	None	 🎙🎙🎙
【shimamoオリジナル】『急げ！夏／shimamo』 🎙🎙🎙	shimamoオリジナル	None	急げ！夏	shimamo	None	None	None	None	 🎙🎙🎙
【shimamoオリジナル】『hanabi／shimamo』 🎇🎇🎇	shimamoオリジナル	None	hanabi	shimamo	None	None	None	None	 🎇🎇🎇
【shimamoオリジナル】『hanbunco／shimamo』 🎙🎙🎙	shimamoオリジナル	None	hanbunco	shimamo	None	None	None	None	 🎙🎙🎙
【shimamoオリジナル】『ハロー／shimamo』 🎙🎙🎙	shimamoオリジナル	None	ハロー	shimamo	None	None	None	None	 🎙🎙🎙
【shimamoオリジナル】『さんぽ／shimamo』 🎙🎙🎙	shimamoオリジナル	None	さんぽ	shimamo	None	None	None	None	 🎙🎙🎙
【shimamoオリジナル】『君のもとへ／shimamo』 🎙🎙🎙	shimamoオリジナル	None	君のもとへ	shimamo	None	None	None	None	 🎙🎙🎙
【shimamoオリジナル】『さよならセレナーデ／shimamo』 🎙🎙🎙	shimamoオリジナル	None	さよならセレナーデ	shimamo	None	None	None	None	 🎙🎙🎙
【shimamoオリジナル】『名もない華／shimamo』 🌸🌸🌸	shimamoオリジナル	None	名もない華	shimamo	None	None	None	None	 🌸🌸🌸
【shimamoオリジナル】『Now on!／shimamo』 🎙🎙🎙	shimamoオリジナル	None	Now on!	shimamo	None	None	None	None	 🎙🎙🎙
【shimamoオリジナル】『リグレット／shimamo（ミニアルバム収録曲）』 🎙🎙🎙	shimamoオリジナル	None	リグレット	shimamo	None	None	None	ミニアルバム収録曲	 🎙🎙🎙
【shimamoオリジナル】『流星の思い／shimamo』 🎙🎙🎙	shimamoオリジナル	None	流星の思い	shimamo	None	None	None	None	 🎙🎙🎙
【shimamoオリジナル】『愛の歌／shimamo（ミニアルバム収録曲）』 💕💕💕	shimamoオリジナル	None	愛の歌	shimamo	None	None	None	ミニアルバム収録曲	 💕💕💕
【shimamoオリジナル】『恋するきもち／shimamo』 🎙🎙🎙	shimamoオリジナル	None	恋するきもち	shimamo	None	None	None	None	 🎙🎙🎙
【shimamoオリジナル】『何度も／shimamo』 🎙🎙🎙	shimamoオリジナル	None	何度も	shimamo	None	None	None	None	 🎙🎙🎙
【shimamoオリジナル】『君に出逢えて／shimamo』 🎙🎙🎙	shimamoオリジナル	None	君に出逢えて	shimamo	None	None	None	None	 🎙🎙🎙
【shimamoオリジナル】『バニラ／shimamo』 🍨🍨🍨	shimamoオリジナル	None	バニラ	shimamo	None	None	None	None	 🍨🍨🍨
【shimamoオリジナル】『僕の生きた証／shimamo』 🎙🎙🎙	shimamoオリジナル	None	僕の生きた証	shimamo	None	None	None	None	 🎙🎙🎙
【shimamoオリジナル】『セツナdays／shimamo（ミニアルバム収録曲）』 🎙🎙🎙	shimamoオリジナル	None	セツナdays	shimamo	None	None	None	ミニアルバム収録曲	 🎙🎙🎙
【shimamoオリジナル】『ココロ→バズ／shimamo（ミニアルバム収録曲）』 🎙🎙🎙	shimamoオリジナル	None	ココロ→バズ	shimamo	None	None	None	ミニアルバム収録曲	 🎙🎙🎙
【shimamoオリジナル】『ナポリタン／shimamo（ミニアルバム収録曲）』 🍝🍝🍝	shimamoオリジナル	None	ナポリタン	shimamo	None	None	None	ミニアルバム収録曲	 🍝🍝🍝
【shimamoオリジナル】『ヒーロー・イン・ザ・ミラー／shimamo（ミニアルバム収録曲）』 🎙🎙🎙	shimamoオリジナル	None	ヒーロー・イン・ザ・ミラー	shimamo	None	None	None	ミニアルバム収録曲	 🎙🎙🎙
【shimamoオリジナル】『しまもは地球を救う／shomamo』🌎🌎🌎	shimamoオリジナル	None	しまもは地球を救う	shomamo	None	None	None	None	🌎🌎🌎
【shimamoカバー】『～Happy birthday to you～／shimamo』 🎂🎂🎂	shimamoカバー	None	～Happy birthday to you～	shimamo	None	None	None	None	 🎂🎂🎂
【shimamoカバー】『Lemon／米津玄師（ドラマ「アンナチュラル」主題歌）』 🍋🍋🍋	shimamoカバー	None	Lemon	米津玄師	ドラマ	アンナチュラル	主題歌	None	 🍋🍋🍋
【shimamoカバー】『ピースサイン／米津玄師（アニメ「僕のヒーローアカデミア」OP）』 🎙🎙🎙	shimamoカバー	None	ピースサイン	米津玄師	アニメ	僕のヒーローアカデミア	OP	None	 🎙🎙🎙
【shimamoカバー】『アイネクライネ／米津玄師』 🎙🎙🎙	shimamoカバー	None	アイネクライネ	米津玄師	None	None	None	None	 🎙🎙🎙
【shimamoカバー】『LOSER／米津玄師』 🎙🎙🎙	shimamoカバー	None	LOSER	米津玄師	None	None	None	None	 🎙🎙🎙
【shimamoカバー】『打上花火／DAOKO×米津玄師（映画「打ち上げ花火、下から見るか? 横から見るか?」主題歌）』 🎆🎆🎆	shimamoカバー	None	打上花火	DAOKO×米津玄師	映画	打ち上げ花火、下から見るか? 横から見るか?	主題歌	None	 🎆🎆🎆
【shimamoカバー】『灰色と青／米津玄師（＋菅田将暉）』 🎙🎙🎙	shimamoカバー	None	灰色と青	米津玄師	None	None	None	＋菅田将暉	 🎙🎙🎙
【shimamoカバー】『orion／米津玄師（アニメ「3月のライオン」ED）』 🎙🎙🎙	shimamoカバー	None	orion	米津玄師	アニメ	3月のライオン	ED	None	 🎙🎙🎙
【shimamoカバー】『ドーナツホール／米津玄師』 🎙🎙🎙	shimamoカバー	None	ドーナツホール	米津玄師	None	None	None	None	 🎙🎙🎙
【shimamoカバー】『メトロノーム／米津玄師』 🎙🎙🎙	shimamoカバー	None	メトロノーム	米津玄師	None	None	None	None	 🎙🎙🎙
【shimamoカバー】『春雷／米津玄師』 🎙🎙🎙	shimamoカバー	None	春雷	米津玄師	None	None	None	None	 🎙🎙🎙
【shimamoカバー】【ボカロ】『砂の惑星／ハチ（米津玄師）』 🎙🎙🎙	shimamoカバー	ボカロ	砂の惑星	ハチ	None	None	None	米津玄師	 🎙🎙🎙
【shimamoカバー】『パプリカ／Foorin x 米津玄師（NHK 2020年応援ソング）』 🎙🎙🎙	shimamoカバー	None	パプリカ	Foorin x 米津玄師	None	None	None	NHK 2020年応援ソング	 🎙🎙🎙
【shimamoカバー】【米津玄師メドレー】『打上花火／DAOKO×米津玄師（映画「打ち上げ花火、下から見るか? 横から見るか?」主題歌）』 🎙🎙🎙	shimamoカバー	米津玄師メドレー	打上花火	DAOKO×米津玄師	映画	打ち上げ花火、下から見るか? 横から見るか?	主題歌	None	 🎙🎙🎙
【shimamoカバー】【米津玄師メドレー】『アイネクライネ／米津玄師』 🎙🎙🎙	shimamoカバー	米津玄師メドレー	アイネクライネ	米津玄師	None	None	None	None	 🎙🎙🎙
